date,open,high,low,close
2024-01-01,37711.4,37741.9,37699.9,37721.4
2024-01-02,37721.9,37814.7,37460.7,37732.7
2024-01-03,37733.2,37735.2,37396.8,37450.1
2024-01-04,37449.1,37721.3,37430.1,37499.4
2024-01-05,37499.9,37625.9,37247.0,37446.5
2024-01-07,37416.3,37452.8,37397.8,37415.3
2024-01-08,37414.8,37693.3,37215.4,37643.3
2024-01-09,37642.8,37647.8,37356.0,37504.2
2024-01-10,37504.7,37744.6,37458.7,37697.3
2024-01-11,37696.8,37813.3,37420.2,37704.6
2024-01-12,37704.1,37824.0,37442.9,37536.9
2024-01-14,37541.7,37564.7,37514.2,37559.2
2024-01-15,37559.7,37623.3,37488.8,37529.2
2024-01-16,37529.7,37542.3,37184.4,37342.2
2024-01-17,37340.2,37352.4,37108.4,37263.9
2024-01-18,37264.4,37524.3,37123.9,37472.6
2024-01-19,37472.1,37945.4,37408.1,37852.1
2024-01-21,37878.8,37922.3,37877.3,37894.9
2024-01-22,37895.4,38108.7,37868.1,37984.9
2024-01-23,37984.4,38023.7,37791.3,37932.8
2024-01-24,37932.3,38080.7,37773.6,37849.3
2024-01-25,37848.8,38059.4,37753.3,37974.5
2024-01-26,37975.0,38217.3,37898.5,38087.2
2024-01-28,38033.0,38044.0,38007.5,38021.5
2024-01-29,38022.0,38345.9,38014.5,38292.2
2024-01-30,38291.7,38514.1,38239.3,38461.9
2024-01-31,38462.4,38582.6,38115.6,38176.9
2024-02-01,38176.4,38545.8,38103.5,38526.1
2024-02-02,38525.6,38783.0,38324.8,38620.7
2024-02-04,38646.6,38665.1,38602.1,38658.6
2024-02-05,38657.1,38694.2,38207.3,38324.6
2024-02-06,38324.1,38541.8,38275.7,38506.3
2024-02-07,38506.8,38747.8,38455.9,38675.9
2024-02-08,38675.4,38746.6,38537.3,38711.4
2024-02-09,38711.9,38894.5,38560.1,38627.2
2024-02-11,38643.1,38674.6,38630.6,38668.6
2024-02-12,38668.1,38932.4,38601.2,38778.1
2024-02-13,38778.6,38822.2,38035.8,38262.8
2024-02-14,38263.3,38439.0,38191.2,38401.1
2024-02-15,38400.6,38781.2,38357.6,38748.3
2024-02-16,38748.8,38831.2,38565.8,38572.2
2024-02-18,38627.5,38637.5,38611.0,38631.0
2024-02-19,38630.5,38664.6,38555.3,38566.3
2024-02-20,38565.8,38661.8,38450.4,38565.3
2024-02-21,38566.8,38676.4,38334.7,38612.7
2024-02-22,38613.2,39155.2,38609.7,39077.7
2024-02-23,39078.2,39285.9,39029.2,39093.0
2024-02-25,39126.0,39137.0,39101.5,39121.0
2024-02-26,39121.5,39242.2,39027.8,39057.2
2024-02-27,39057.7,39113.1,38875.9,38921.9
2024-02-28,38921.4,38953.5,38740.1,38845.6
2024-02-29,38846.1,39074.0,38787.4,38951.9
2024-03-01,38952.4,39124.8,38843.0,39026.6
2024-03-03,39066.7,39076.2,39047.7,39055.7
2024-03-04,39055.2,39087.9,38862.8,38929.2
2024-03-05,38928.7,38962.2,38450.8,38581.8
2024-03-06,38580.8,38863.3,38548.3,38641.7
2024-03-07,38642.7,38917.1,38520.0,38766.8
2024-03-08,38767.3,38969.7,38593.4,38741.3
2024-03-10,38753.8,38758.8,38675.3,38729.3
2024-03-11,38728.8,38818.8,38477.3,38801.3
2024-03-12,38800.8,39079.0,38639.3,39005.9
2024-03-13,39006.4,39205.2,38928.1,39083.3
2024-03-14,39082.3,39228.9,38693.8,38871.6
2024-03-15,38871.1,38991.1,38612.7,38696.6
2024-03-17,38698.7,38724.7,38678.7,38691.7
2024-03-18,38691.2,38903.1,38658.3,38787.5
2024-03-19,38788.0,39120.8,38685.8,39099.1
2024-03-20,39098.6,39584.7,38996.7,39575.2
2024-03-21,39574.7,39893.7,39559.7,39822.8
2024-03-22,39823.3,39852.2,39421.4,39421.7
2024-03-24,39443.2,39450.2,39412.2,39446.2
2024-03-25,39445.7,39461.8,39294.0,39337.8
2024-03-26,39337.3,39442.7,39275.7,39389.9
2024-03-27,39389.4,39796.2,39384.4,39721.7
2024-03-28,39722.2,39867.1,39714.8,39767.6
2024-03-31,39855.8,39919.2,39853.8,39918.2
2024-04-01,39917.7,39992.2,39357.8,39415.3
2024-04-02,39415.8,39472.5,39046.4,39156.0
2024-04-03,39155.5,39312.4,39012.1,39143.6
2024-04-04,39144.1,39428.3,38558.0,38607.3
2024-04-05,38607.8,39055.0,38554.6,38922.1
2024-04-07,38985.8,39016.3,38950.8,38954.8
2024-04-08,38953.8,39012.8,38795.0,38920.6
2024-04-09,38919.6,38993.8,38561.2,38910.6
2024-04-10,38911.6,39027.2,38296.5,38396.3
2024-04-11,38395.8,38602.4,38196.8,38502.3
2024-04-12,38503.3,38569.2,37868.3,37959.2
2024-04-14,38021.8,38104.8,37970.3,38064.3
2024-04-15,38065.8,38376.2,37656.5,37761.0
2024-04-16,37762.0,38033.7,37589.5,37856.0
2024-04-17,37855.5,38014.2,37605.7,37753.1
2024-04-18,37752.6,38088.1,37673.6,37766.1
2024-04-19,37765.6,38112.4,37234.1,37969.0
2024-04-21,38078.5,38088.5,38026.0,38080.0
2024-04-22,38080.5,38456.0,37980.1,38260.6
2024-04-23,38259.6,38590.8,38206.6,38506.1
2024-04-24,38506.6,38575.0,38295.6,38374.7
2024-04-25,38375.7,38438.8,37748.5,38136.2
2024-04-26,38134.2,38337.6,38048.4,38257.7
2024-04-28,38288.1,38311.4,38285.6,38298.4
2024-04-29,38298.9,38406.8,38206.9,38359.5
2024-04-30,38360.0,38389.6,37729.7,37807.5
2024-05-01,37807.0,38359.3,37702.6,37982.6
2024-05-02,37982.1,38541.8,37890.5,38457.3
2024-05-03,38456.3,38803.2,38446.8,38708.9
2024-05-05,38758.7,38758.7,38725.2,38744.6
2024-05-06,38745.1,38877.3,38686.7,38857.7
2024-05-07,38858.2,39285.5,38794.8,38884.6
2024-05-08,38883.6,39094.9,38797.2,39054.8
2024-05-09,39054.3,39459.4,38949.7,39448.9
2024-05-10,39449.4,39583.1,39398.3,39484.5
2024-05-12,39488.8,39507.8,39450.8,39498.3
2024-05-13,39499.3,39655.9,39397.2,39435.7
2024-05-14,39436.2,39616.3,39290.8,39579.2
2024-05-15,39578.7,39943.2,39532.3,39913.0
2024-05-16,39912.5,40053.8,39838.0,39877.0
2024-05-17,39876.5,40013.0,39820.1,39987.7
2024-05-19,40023.1,40044.6,40016.6,40027.6
2024-05-20,40027.1,40079.4,39781.6,39789.6
2024-05-21,39790.1,39905.1,39777.3,39889.8
2024-05-22,39890.8,39909.3,39550.8,39602.4
2024-05-23,39602.9,39785.1,39020.5,39050.5
2024-05-24,39051.0,39223.4,39012.6,39054.0
2024-05-26,39057.5,39076.0,39048.0,39051.5
2024-05-27,39052.0,39147.2,39001.0,39112.7
2024-05-28,39112.2,39126.2,38697.2,38807.9
2024-05-29,38808.4,38813.9,38109.3,38160.2
2024-05-30,38160.7,38201.9,38009.3,38078.7
2024-05-31,38078.2,38751.7,38025.7,38715.1
2024-06-02,38726.7,38748.7,38663.2,38715.1
2024-06-03,38714.6,38817.6,38242.1,38577.3
2024-06-04,38577.8,38789.2,38335.9,38748.5
2024-06-05,38748.0,38850.8,38550.1,38813.4
2024-06-06,38812.9,39007.9,38727.7,38899.9
2024-06-07,38899.4,39114.0,38647.7,38789.2
2024-06-09,38775.2,38831.7,38757.7,38806.2
2024-06-10,38806.7,38880.6,38660.0,38840.5
2024-06-11,38840.0,38875.9,38426.0,38738.5
2024-06-12,38737.5,39148.6,38614.2,38690.5
2024-06-13,38691.0,38727.1,38400.3,38612.3
2024-06-14,38613.8,38647.9,38279.9,38530.4
